meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
troubleshooting call - login issue,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,26,Advance Front End Development NodeJs,Jakarta Enterprise Beans,AWS,10,8,"english, french",full time,12-Associate,project management,Java,bca,PH,required,No,series,yes
troubleshooting call - login issue,Packaged App Development Analyst,Software Engineering > Packaged Application Development,14,Business Operation Management,Architectural Design,management ,11,10,"english, chinese",full time,10-Senior Analyst,Google cloud,dot net,btech,CN,optional,yes,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Technology & Information Architectures > Technology Architecture,13,Automated Testing,Microsoft Avanade Agile Framework (AAF),AWS,1,12,"english, chinese",full time,11-Analyst,Google cloud,dot net,mba,IN,required,yes,instance,yes
java training call,custom software engineering analyst,Software Engineering > Quality Engineering,23,Applications Architecture,Architectural Design,Azure,12,12,"english, french",full time,10-Senior Analyst,Microsoft backend,SAP,mba,US,optional,yes,instance,no
new vendor onboarding call,Vendor Management Specialist,Software Engineering > Quality Engineering,27,SAP ABAP Development,Jakarta Enterprise Beans,java,3,6,"english, hindi",full time,6-Senior Manager,Azure,SAP,mca,PH,required,yes,instance,yes
Agile scrum KT call,Talent Strategy Senior Manager,Software Engineering > Packaged Application Development,7,SAP ABAP Development,Avanade Scrum Project Management,AWS,5,12,"english, german",full time,7-Manager,Azure,management,btech,IN,optional,No,series,yes
java training call,custom software engineering associate manager,Human Resources > People Advisor,16,Java Enterprise Edition,Agile Team Practices,SAP,9,3,"english, chinese",full time,11-Analyst,Microsoft frontend,dot net,mca,IN,optional,No,instance,yes
Test team status call,Business Interlock Manager,Software Engineering > Quality Engineering,13,SAP ABAP Development,Architectural Design,AWS,7,8,"english, japanese",full time,11-Analyst,Cloud,dot net,mba,IN,required,yes,series,yes
Test team status call,Quality Engineering Associate Manager,Sourcing & Procurement Services > Vendor Management,28,SAP ABAP Development,Vendor Management,AWS,4,8,"english, french",part time,9-Team Lead/Consultant,Microsoft frontend,angular,mba,US,optional,No,series,no
scrum call SAP project ,People Advisor Analyst,Software Engineering > Quality Engineering,12,Communications Development and Delivery,Vendor Management,Azure,16,4,"english, hindi",full time,12-Associate,Microsoft backend,angular,btech,US,optional,No,series,yes
Agile scrum KT call,Quality Engineering Team Lead,Software Engineering > Quality Engineering,11,Stakeholder Management,ASP.NET MVC,Selenium,6,3,"english, chinese",full time,9-Team Lead/Consultant,project management,Azure,btech,PH,optional,yes,instance,no
User login issue - client call,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,7,Microsoft Azure Machine Learning,IT Troubleshooting,Azure,12,12,"english, german",part time,12-Associate,project management,Azure,mca,PH,optional,No,instance,yes
Java proect KT call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,9,Advance Front End Development NodeJs,IT Troubleshooting,management ,10,6,"english, chinese",full time,10-Senior Analyst,SAP,Azure,bca,IN,optional,No,series,yes
Java proect KT call,Quality Engineering Team Lead,Sourcing & Procurement Services > Vendor Management,3,Angular,Candidate Relationship Management,management ,4,8,"english, french",full time,10-Senior Analyst,project management,google cloud,bca,US,optional,No,instance,yes
people lead connect - discuss queries,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,19,Automated Testing,Agile Team Practices,Selenium,12,12,"english, hindi",full time,6-Senior Manager,Azure,google cloud,btech,IN,required,yes,instance,yes
Test team status call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,12,Business Operation Management,IT Troubleshooting,management ,3,12,"english, french",full time,12-Associate,AWS,Java,bca,IN,optional,No,series,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Packaged Application Development,16,Microsoft Functional Testing,Microsoft Avanade Agile Framework (AAF),java,16,5,"english, hindi",full time,12-Associate,Microsoft frontend,google cloud,btech,US,required,No,instance,yes
Test team status call,custom software engineering analyst,Training & Development > Business Interlock,13,Java Enterprise Edition,Microsoft Avanade Agile Framework (AAF),Selenium,12,3,"english, japanese",full time,12-Associate,AWS,Java,bca,IN,optional,No,instance,yes
new vendor onboarding call,SW/App/Cloud Tech Support Assoc Manager,Human Resources > People Advisor,23,Automated Testing,SAP for Utilities ,Scrum,14,8,"english, hindi",full time,11-Analyst,project management,Java,bca,SL,optional,No,instance,yes
User login issue - client call,People Advisor Analyst,Software Engineering > Packaged Application Development,28,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),Azure,9,11,"english, japanese",part time,10-Senior Analyst,Microsoft backend,dot net,mca,IN,optional,No,series,yes
Java proect KT call,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,11,Java Enterprise Edition,Agile Team Practices,Google cloud,11,11,"english, japanese",full time,12-Associate,AWS,management,btech,US,optional,No,instance,no
new vendor onboarding call,Tech Architecture Manager,Information Technology Operations > Software/Application/Cloud Tech Support,13,Microsoft Azure Machine Learning,Jakarta Enterprise Beans,AWS,15,11,"english, japanese",part time,11-Analyst,Microsoft backend,management,btech,IN,required,No,instance,no
weekly status call ,custom software engineering analyst,Software Engineering > Packaged Application Development,23,Behavioral Sciences,Vendor Management,front end,11,10,"english, french",full time,12-Associate,Azure,SAP,mca,IN,optional,yes,instance,yes
java training call,SW/App/Cloud Tech Support Assoc Manager,Training & Development > Business Interlock,29,Microsoft Functional Testing,IT Troubleshooting,java,11,5,"english, hindi",full time,9-Team Lead/Consultant,AWS,SAP,btech,IN,optional,No,series,yes
troubleshooting call - login issue,People Advisor Analyst,Software Engineering > Packaged Application Development,22,Stakeholder Management,SAP for Utilities ,management ,19,12,"english, german",full time,11-Analyst,AWS,google cloud,mba,IN,required,yes,instance,yes
User login issue - client call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,20,ASP.NET MVC,Amazon Web Services (AWS),front end,17,10,"english, french",full time,12-Associate,project management,angular,btech,IN,optional,No,instance,yes
scrum call SAP project ,custom software engineering associate manager,Software Engineering > Quality Engineering,28,Automated Testing,Architectural Design,management ,4,10,"english, chinese",part time,12-Associate,project management,dot net,btech,IN,optional,No,instance,yes
people lead connect - discuss queries,Tech Architecture Manager,Software Engineering > Packaged Application Development,15,Business Operation Management,Candidate Relationship Management,management ,19,10,"english, chinese",part time,9-Team Lead/Consultant,Cloud,Java,bca,PH,optional,yes,instance,yes
scrum call SAP project ,custom software engineering analyst,Software Engineering > Custom Software Engineering,23,Stakeholder Management,Microsoft Avanade Agile Framework (AAF),Azure,5,8,"english, french",full time,11-Analyst,project management,dot net,btech,SL,optional,No,instance,no
Agile scrum KT call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,2,Business Operation Management,Avanade Scrum Project Management,Scrum,5,10,"english, japanese",full time,12-Associate,Google cloud,SAP,btech,IN,optional,No,series,no
User login issue - client call,Quality Engineering Team Lead,Software Engineering > Packaged Application Development,21,ASP.NET MVC,Architectural Design,java,13,8,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,SAP,bca,PH,optional,yes,series,yes
people lead connect - discuss queries,Quality Engineering Associate Manager,Technology & Information Architectures > Technology Architecture,19,Automated Testing,Angular,AWS,18,12,"english, french",full time,11-Analyst,Microsoft frontend,management,mba,PH,required,No,series,yes
scrum call SAP project ,custom software engineering associate manager,Software Engineering > Custom Software Engineering,21,Java Enterprise Edition,Culture Strategy,Azure,12,10,"english, japanese",full time,10-Senior Analyst,Google cloud,google cloud,btech,IN,optional,yes,instance,no
User login issue - client call,People Advisor Analyst,Software Engineering > Packaged Application Development,15,Automated Testing,Quality Engineering Strategy Implementation,Azure,17,5,"english, german",full time,9-Team Lead/Consultant,Google cloud,SAP,btech,IN,required,No,instance,yes
Java proect KT call,Tech Architecture Manager,Software Engineering > Custom Software Engineering,20,Microsoft Azure Machine Learning,Amazon Web Services (AWS),SAP,7,3,"english, hindi",full time,8-Associate Manager,Microsoft backend,Azure,mca,SL,required,No,series,no
scrum call SAP project ,custom software engineering associate manager,Technology & Information Architectures > Technology Architecture,21,Angular,Quality Engineering Strategy Implementation,Azure,7,10,"english, hindi",full time,11-Analyst,Google cloud,google cloud,btech,IN,optional,No,instance,no
Java proect KT call,Business Interlock Manager,Software Engineering > Packaged Application Development,28,Angular,Angular,Scrum,19,5,"english, hindi",full time,10-Senior Analyst,project management,Azure,mca,CN,required,yes,instance,yes
new vendor onboarding call,People Advisor Analyst,Technology & Information Architectures > Technology Architecture,23,Advance Front End Development NodeJs,Vendor Management,SAP,16,8,"english, hindi",part time,11-Analyst,Cloud,SAP,mba,IN,optional,yes,instance,yes
java training call,Quality Engineering Team Lead,Software Engineering > Packaged Application Development,24,Advance Front End Development NodeJs,Microsoft Avanade Agile Framework (AAF),Selenium,17,3,"english, japanese",full time,12-Associate,project management,SAP,mba,PH,optional,No,instance,no
new vendor onboarding call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Packaged Application Development,17,Microsoft Functional Testing,Culture Strategy,AWS,18,12,"english, japanese",part time,10-Senior Analyst,Microsoft backend,Azure,btech,IN,optional,yes,series,yes
User login issue - client call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,24,Microsoft Functional Testing,Amazon Web Services (AWS),management ,10,8,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,SAP,mca,IN,optional,No,instance,yes
java training call,custom software engineering associate manager,Software Engineering > Custom Software Engineering,14,Java Enterprise Edition,SAP for Utilities ,AWS,15,8,"english, french",full time,10-Senior Analyst,Microsoft frontend,management,mca,IN,required,No,instance,yes
Agile scrum KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,10,Communications Development and Delivery,Architectural Design,Azure,7,4,"english, japanese",part time,10-Senior Analyst,project management,Azure,btech,IN,required,No,instance,yes
java training call,SW/App/Cloud Tech Support Assoc Manager,Technology & Information Architectures > Technology Architecture,27,Microsoft ASP.NET,Agile Team Practices,Azure,5,8,"english, german",full time,12-Associate,SAP,management,btech,IN,required,No,series,no
scrum call SAP project ,Custom Software Engineering Specialist,Human Resources > People Advisor,12,Advance Front End Development NodeJs,Culture Strategy,management ,7,10,"english, hindi",full time,12-Associate,Microsoft backend,dot net,mba,SL,required,No,series,no
new vendor onboarding call,custom software engineering analyst,Software Engineering > Custom Software Engineering,20,Business Operation Management,ASP.NET MVC,front end,16,10,"english, japanese",full time,12-Associate,AWS,google cloud,btech,IN,optional,yes,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,10,Business Operation Management,IT Troubleshooting,management ,11,5,"english, german",full time,12-Associate,Cloud,Java,btech,IN,required,No,series,no
new vendor onboarding call,Quality Engineering Team Lead,Human Resources > Talent Strategy,25,Java Enterprise Edition,Angular,Azure,8,10,"english, hindi",full time,6-Senior Manager,Microsoft frontend,Azure,btech,US,required,No,instance,no
new vendor onboarding call,Talent Strategy Senior Manager,Software Engineering > Packaged Application Development,21,Advance Front End Development NodeJs,ASP.NET MVC,Azure,5,12,"english, japanese",full time,12-Associate,Cloud,Java,mca,PH,required,yes,series,no
User login issue - client call,Packaged App Development Analyst,Human Resources > People Advisor,17,Microsoft Functional Testing,Architectural Design,Azure,15,8,"english, japanese",part time,11-Analyst,project management,Azure,mba,PH,optional,yes,instance,no
Agile scrum KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,24,ASP.NET MVC,Amazon Web Services (AWS),management ,19,12,"english, french",full time,11-Analyst,SAP,Java,btech,PH,required,No,instance,yes
Java proect KT call,custom software engineering associate manager,Technology & Information Architectures > Technology Architecture,26,Stakeholder Management,ASP.NET MVC,Selenium,1,6,"english, hindi",full time,12-Associate,Google cloud,management,mba,IN,required,No,instance,yes
scrum call SAP project ,Tech Architecture Manager,Software Engineering > Custom Software Engineering,16,Applications Architecture,ASP.NET MVC,Azure,1,12,"english, hindi",full time,11-Analyst,AWS,angular,btech,IN,required,yes,instance,no
people lead connect - discuss queries,Quality Engineering Team Lead,Human Resources > Talent Strategy,19,Java Enterprise Edition,Jakarta Enterprise Beans,Azure,17,5,"english, french",full time,8-Associate Manager,Google cloud,SAP,btech,IN,optional,No,instance,yes
scrum call SAP project ,Quality Engineering Team Lead,Sourcing & Procurement Services > Vendor Management,12,Applications Architecture,Culture Strategy,Selenium,5,5,"english, french",full time,10-Senior Analyst,Cloud,angular,btech,IN,required,No,instance,no
Java proect KT call,Custom Software Engineering Specialist,Training & Development > Business Interlock,22,Microsoft Functional Testing,Vendor Management,management ,3,8,"english, hindi",full time,12-Associate,Google cloud,Azure,bca,IN,required,yes,instance,yes
scrum call SAP project ,custom software engineering associate manager,Information Technology Operations > Software/Application/Cloud Tech Support,6,Communications Development and Delivery,IT Troubleshooting,SAP,12,11,"english, french",full time,12-Associate,project management,SAP,bca,US,optional,yes,series,no
new vendor onboarding call,Talent Strategy Senior Manager,Information Technology Operations > Software/Application/Cloud Tech Support,18,Advance Front End Development NodeJs,Culture Strategy,SAP,11,10,"english, hindi",full time,11-Analyst,Azure,management,mca,PH,optional,No,series,no
Agile scrum KT call,custom software engineering analyst,Software Engineering > Packaged Application Development,24,Microsoft Functional Testing,SAP for Utilities ,Azure,12,12,"english, japanese",full time,12-Associate,AWS,Azure,btech,CN,required,No,instance,yes
new vendor onboarding call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,6,Microsoft Functional Testing,Microsoft Avanade Agile Framework (AAF),management ,4,3,"english, hindi",full time,12-Associate,Microsoft frontend,Java,bca,PH,optional,yes,instance,yes
weekly status call ,custom software engineering analyst,Software Engineering > Custom Software Engineering,10,Angular,SAP for Utilities ,Azure,11,6,"english, hindi",full time,12-Associate,project management,management,btech,SL,optional,No,series,yes
Java proect KT call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Packaged Application Development,8,Automated Testing,IT Troubleshooting,AWS,18,11,"english, japanese",full time,8-Associate Manager,Microsoft backend,dot net,btech,US,required,No,instance,yes
Test team status call,Quality Engineering Associate Manager,Sourcing & Procurement Services > Vendor Management,13,Microsoft Functional Testing,Agile Team Practices,Azure,11,10,"english, japanese",full time,9-Team Lead/Consultant,project management,Java,btech,IN,optional,yes,instance,no
User login issue - client call,Business Interlock Manager,Sourcing & Procurement Services > Vendor Management,11,Behavioral Sciences,ASP.NET MVC,AWS,11,11,"english, hindi",part time,12-Associate,Google cloud,Azure,bca,IN,required,No,instance,yes
Test team status call,Business Interlock Manager,Software Engineering > Quality Engineering Architecture,13,Stakeholder Management,Vendor Management,Google cloud,15,11,"english, japanese",full time,12-Associate,Azure,Azure,btech,IN,optional,yes,series,yes
scrum call SAP project ,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,17,Automated Testing,Candidate Relationship Management,Google cloud,16,8,"english, hindi",full time,12-Associate,Microsoft backend,google cloud,btech,IN,optional,yes,instance,yes
Test team status call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,8,Behavioral Sciences,IT Troubleshooting,AWS,13,12,"english, french",full time,11-Analyst,Azure,google cloud,mba,CN,optional,yes,series,yes
User login issue - client call,custom software engineering associate manager,Software Engineering > Custom Software Engineering,16,Stakeholder Management,Avanade Scrum Project Management,Azure,11,11,"english, japanese",part time,11-Analyst,Microsoft backend,Java,btech,IN,optional,No,series,yes
people lead connect - discuss queries,custom software engineering associate manager,Software Engineering > Custom Software Engineering,3,SAP ABAP Development,Amazon Web Services (AWS),AWS,2,12,"english, french",part time,12-Associate,project management,SAP,mba,CN,optional,No,series,yes
Test team status call,custom software engineering analyst,Software Engineering > Custom Software Engineering,15,Advance Front End Development NodeJs,Quality Engineering Strategy Implementation,AWS,1,8,"english, hindi",part time,12-Associate,Azure,dot net,btech,US,optional,No,instance,yes
weekly status call ,Tech Architecture Manager,Technology & Information Architectures > Technology Architecture,23,Applications Architecture,Architectural Design,Azure,7,3,"english, hindi",part time,6-Senior Manager,Azure,google cloud,mca,IN,optional,yes,instance,yes
new vendor onboarding call,Tech Architecture Manager,Software Engineering > Packaged Application Development,11,Microsoft Functional Testing,ASP.NET MVC,Scrum,2,3,"english, hindi",full time,10-Senior Analyst,SAP,Java,mca,IN,required,No,instance,yes
Java proect KT call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,3,Microsoft Azure Machine Learning,ASP.NET MVC,AWS,15,5,"english, hindi",full time,9-Team Lead/Consultant,project management,Azure,mca,IN,required,No,instance,no
java training call,Packaged App Development Analyst,Information Technology Operations > Software/Application/Cloud Tech Support,18,ASP.NET MVC,ASP.NET MVC,management ,3,12,"english, german",full time,11-Analyst,Cloud,Azure,mca,IN,optional,No,series,no
Java proect KT call,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,9,Microsoft Functional Testing,SAP for Utilities ,SAP,2,5,"english, hindi",full time,10-Senior Analyst,Azure,management,btech,IN,optional,No,instance,yes
java training call,Quality Engineering Associate Manager,Software Engineering > Quality Engineering,7,SAP ABAP Development,Avanade Scrum Project Management,Selenium,8,12,"english, hindi",full time,12-Associate,Microsoft frontend,angular,mba,US,required,No,instance,no
troubleshooting call - login issue,Custom Software Engineering Specialist,Software Engineering > Packaged Application Development,27,.NET Architecture,Candidate Relationship Management,SAP,10,11,"english, hindi",full time,8-Associate Manager,Azure,management,mba,IN,required,No,instance,yes
troubleshooting call - login issue,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,20,Behavioral Sciences,Architectural Design,AWS,5,10,"english, japanese",full time,10-Senior Analyst,SAP,SAP,mca,PH,required,No,instance,no
people lead connect - discuss queries,Talent Strategy Senior Manager,Technology & Information Architectures > Technology Architecture,25,Microsoft ASP.NET,Angular,AWS,11,8,"english, german",part time,11-Analyst,Google cloud,Java,mca,CN,required,No,instance,yes
User login issue - client call,Custom Software Engineering Specialist,Training & Development > Business Interlock,11,Behavioral Sciences,Jakarta Enterprise Beans,Azure,3,11,"english, hindi",full time,12-Associate,Google cloud,Azure,btech,IN,required,No,instance,no
weekly status call ,Custom Software Engineering Specialist,Human Resources > Talent Strategy,7,Communications Development and Delivery,Avanade Scrum Project Management,management ,16,11,"english, hindi",full time,11-Analyst,AWS,dot net,bca,IN,required,No,instance,yes
new vendor onboarding call,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,5,.NET Architecture,IT Troubleshooting,Azure,2,8,"english, hindi",full time,12-Associate,Azure,SAP,bca,PH,optional,yes,instance,no
User login issue - client call,Talent Strategy Senior Manager,Software Engineering > Packaged Application Development,26,Communications Development and Delivery,Agile Team Practices,Selenium,18,12,"english, chinese",full time,9-Team Lead/Consultant,project management,Azure,mca,PH,optional,No,instance,yes
scrum call SAP project ,custom software engineering analyst,Software Engineering > Custom Software Engineering,1,Automated Testing,Jakarta Enterprise Beans,management ,13,6,"english, hindi",part time,12-Associate,Microsoft frontend,dot net,btech,IN,optional,No,instance,yes
new vendor onboarding call,Quality Engineering Team Lead,Human Resources > Talent Strategy,23,Business Operation Management,Candidate Relationship Management,Azure,17,10,"english, japanese",full time,12-Associate,Azure,dot net,mba,CN,optional,No,instance,yes
Agile scrum KT call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,24,.NET Architecture,Quality Engineering Strategy Implementation,java,11,8,"english, hindi",full time,12-Associate,Google cloud,dot net,btech,IN,optional,yes,series,yes
User login issue - client call,Packaged App Development Analyst,Technology & Information Architectures > Technology Architecture,19,Microsoft Azure Machine Learning,Avanade Scrum Project Management,Google cloud,4,6,"english, hindi",full time,12-Associate,Cloud,angular,mba,IN,optional,No,instance,yes
Agile scrum KT call,Talent Strategy Senior Manager,Software Engineering > Packaged Application Development,27,Communications Development and Delivery,Quality Engineering Strategy Implementation,AWS,1,11,"english, german",part time,10-Senior Analyst,Google cloud,google cloud,mba,IN,optional,No,series,yes
new vendor onboarding call,SW/App/Cloud Tech Support Assoc Manager,Training & Development > Business Interlock,9,Stakeholder Management,Vendor Management,Selenium,8,11,"english, hindi",part time,6-Senior Manager,project management,google cloud,btech,PH,required,No,series,no
weekly status call ,Talent Strategy Senior Manager,Technology & Information Architectures > Technology Architecture,5,Advance Front End Development NodeJs,Quality Engineering Strategy Implementation,java,17,4,"english, japanese",full time,12-Associate,Google cloud,management,mca,PH,optional,yes,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,3,Microsoft Azure Machine Learning,ASP.NET MVC,management ,7,10,"english, hindi",full time,10-Senior Analyst,project management,dot net,mca,IN,required,No,series,yes
User login issue - client call,Quality Engineering Associate Manager,Technology & Information Architectures > Technology Architecture,14,Microsoft Azure Machine Learning,Candidate Relationship Management,Scrum,3,12,"english, japanese",full time,12-Associate,SAP,google cloud,btech,SL,optional,yes,series,no
Java proect KT call,Tech Architecture Manager,Sourcing & Procurement Services > Vendor Management,23,Automated Testing,Amazon Web Services (AWS),management ,17,11,"english, hindi",full time,12-Associate,Microsoft frontend,dot net,mba,IN,optional,yes,instance,yes
weekly status call ,Quality Engineering Associate Manager,Software Engineering > Packaged Application Development,3,Behavioral Sciences,Amazon Web Services (AWS),java,2,10,"english, hindi",full time,12-Associate,Google cloud,Azure,btech,IN,optional,No,series,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Packaged Application Development,7,.NET Architecture,Quality Engineering Strategy Implementation,Azure,9,12,"english, hindi",full time,12-Associate,Azure,management,mba,CN,optional,No,instance,yes
troubleshooting call - login issue,Tech Architecture Manager,Software Engineering > Custom Software Engineering,9,Microsoft Azure Machine Learning,SAP for Utilities ,AWS,8,10,"english, german",part time,12-Associate,Azure,dot net,mca,SL,optional,No,instance,yes
Java proect KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,2,Microsoft Functional Testing,Candidate Relationship Management,Google cloud,9,8,"english, japanese",full time,10-Senior Analyst,SAP,SAP,mba,IN,required,No,series,yes
Test team status call,Packaged App Development Analyst,Human Resources > Talent Strategy,14,Microsoft ASP.NET,Microsoft Avanade Agile Framework (AAF),AWS,18,4,"english, chinese",full time,11-Analyst,SAP,dot net,btech,IN,optional,yes,instance,yes
new vendor onboarding call,Quality Engineering Associate Manager,Information Technology Operations > Software/Application/Cloud Tech Support,23,ASP.NET MVC,ASP.NET MVC,Azure,1,8,"english, hindi",full time,8-Associate Manager,Cloud,management,mca,IN,optional,No,series,yes
troubleshooting call - login issue,Talent Strategy Senior Manager,Human Resources > Talent Strategy,4,.NET Architecture,Quality Engineering Strategy Implementation,Selenium,1,3,"english, japanese",part time,11-Analyst,Google cloud,SAP,btech,IN,required,No,instance,yes
weekly status call ,custom software engineering analyst,Software Engineering > Custom Software Engineering,29,Applications Architecture,Candidate Relationship Management,java,9,10,"english, german",full time,12-Associate,project management,dot net,bca,US,optional,yes,instance,yes
new vendor onboarding call,Talent Strategy Senior Manager,Technology & Information Architectures > Technology Architecture,25,Microsoft Azure Machine Learning,Vendor Management,AWS,17,8,"english, german",full time,11-Analyst,AWS,Azure,btech,IN,optional,No,instance,yes
Java proect KT call,Quality Engineering Associate Manager,Information Technology Operations > Software/Application/Cloud Tech Support,17,ASP.NET MVC,SAP for Utilities ,management ,9,10,"english, french",full time,12-Associate,Google cloud,management,btech,IN,optional,No,series,yes
weekly status call ,Quality Engineering Team Lead,Human Resources > Talent Strategy,14,.NET Architecture,Microsoft Avanade Agile Framework (AAF),management ,19,8,"english, french",part time,6-Senior Manager,Cloud,management,btech,US,optional,No,series,yes
weekly status call ,custom software engineering analyst,Software Engineering > Custom Software Engineering,28,Microsoft Azure Machine Learning,Architectural Design,AWS,17,8,"english, hindi",full time,12-Associate,Microsoft backend,Azure,mba,IN,optional,No,instance,no
User login issue - client call,custom software engineering analyst,Software Engineering > Packaged Application Development,17,.NET Architecture,Architectural Design,Azure,10,12,"english, german",part time,6-Senior Manager,SAP,management,bca,US,optional,No,instance,no
User login issue - client call,People Advisor Analyst,Software Engineering > Custom Software Engineering,9,Microsoft ASP.NET,Angular,Azure,9,4,"english, german",full time,8-Associate Manager,Microsoft backend,management,btech,PH,optional,No,instance,no
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Custom Software Engineering,12,Microsoft ASP.NET,Microsoft Avanade Agile Framework (AAF),management ,15,8,"english, japanese",part time,8-Associate Manager,Azure,SAP,mba,PH,required,No,instance,yes
people lead connect - discuss queries,custom software engineering analyst,Software Engineering > Custom Software Engineering,11,Java Enterprise Edition,Vendor Management,Azure,17,11,"english, japanese",full time,8-Associate Manager,SAP,management,mba,IN,required,No,instance,yes
Agile scrum KT call,Custom Software Engineering Specialist,Training & Development > Business Interlock,19,Java Enterprise Edition,Architectural Design,management ,9,12,"english, french",full time,12-Associate,Azure,SAP,mca,IN,optional,yes,instance,yes
Test team status call,Business Interlock Manager,Software Engineering > Custom Software Engineering,13,Microsoft ASP.NET,Microsoft Avanade Agile Framework (AAF),AWS,1,12,"english, japanese",full time,7-Manager,Cloud,management,mba,PH,required,No,series,yes
troubleshooting call - login issue,Vendor Management Specialist,Information Technology Operations > Software/Application/Cloud Tech Support,17,SAP ABAP Development,Candidate Relationship Management,Selenium,3,10,"english, chinese",full time,11-Analyst,project management,angular,btech,US,required,No,instance,no
weekly status call ,Business Interlock Manager,Software Engineering > Custom Software Engineering,24,ASP.NET MVC,Quality Engineering Strategy Implementation,Azure,7,5,"english, japanese",full time,9-Team Lead/Consultant,Azure,SAP,mba,PH,optional,No,series,yes
Test team status call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,2,Microsoft ASP.NET,IT Troubleshooting,SAP,16,12,"english, hindi",full time,9-Team Lead/Consultant,Google cloud,dot net,mca,US,optional,yes,instance,no
troubleshooting call - login issue,People Advisor Analyst,Human Resources > People Advisor,23,Advance Front End Development NodeJs,Amazon Web Services (AWS),java,3,11,"english, japanese",full time,10-Senior Analyst,SAP,management,btech,PH,required,yes,instance,yes
User login issue - client call,Tech Architecture Manager,Information Technology Operations > Software/Application/Cloud Tech Support,28,Advance Front End Development NodeJs,ASP.NET MVC,management ,11,10,"english, french",full time,12-Associate,Azure,Java,btech,CN,required,No,series,yes
weekly status call ,Custom Software Engineering Specialist,Software Engineering > Quality Engineering Architecture,2,Microsoft Azure Machine Learning,Angular,Azure,11,10,"english, chinese",full time,10-Senior Analyst,Microsoft backend,SAP,btech,US,required,No,instance,yes
new vendor onboarding call,Tech Architecture Manager,Software Engineering > Custom Software Engineering,11,Microsoft Azure Machine Learning,Candidate Relationship Management,Azure,16,8,"english, hindi",full time,6-Senior Manager,Azure,google cloud,btech,US,required,No,series,yes
java training call,custom software engineering associate manager,Software Engineering > Packaged Application Development,7,Microsoft Azure Machine Learning,Avanade Scrum Project Management,SAP,13,8,"english, hindi",full time,12-Associate,Cloud,Java,btech,IN,required,No,instance,yes
weekly status call ,Quality Engineering Team Lead,Training & Development > Business Interlock,17,Microsoft Functional Testing,Architectural Design,SAP,5,12,"english, chinese",part time,9-Team Lead/Consultant,Google cloud,google cloud,mca,IN,optional,No,series,yes
troubleshooting call - login issue,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,10,Microsoft Functional Testing,Quality Engineering Strategy Implementation,SAP,18,11,"english, hindi",full time,11-Analyst,SAP,Azure,btech,IN,required,No,instance,yes
java training call,Business Interlock Manager,Software Engineering > Custom Software Engineering,28,Microsoft Functional Testing,Avanade Scrum Project Management,Azure,14,10,"english, hindi",full time,12-Associate,SAP,angular,btech,IN,optional,No,series,no
people lead connect - discuss queries,Vendor Management Specialist,Software Engineering > Custom Software Engineering,15,ASP.NET MVC,ASP.NET MVC,Selenium,2,6,"english, hindi",full time,9-Team Lead/Consultant,SAP,SAP,mca,US,optional,No,instance,yes
